Late Submission,0.0
No Submission,0.0
"Hi,Great job on submitting your first reflective diary for the semester.This was a great reflection. Just a suggestion to improve - Maybe also spend some time discussing the internal functioning of the group and your experience with it as you go. For example, you mentioned the possibility of a language barrier issue and the steps you would take as a team as time progresses. Was there any significant contribution from your end at the time that you thought would should be applied during the meeting and how did everyone react to that? Was there a previous experience to a similar situation that you may have faced and the steps you took personally to help overcome that challenge?;Hope this helps.",85.0
"Be confident Wei, you shall be able to slowly catch up regardless of whether you are BIS or not. Do not think about speed of learning or your degree, but think about how much you can help your teammate.;",80.0
"Hi Jianxing, You have mentioned the team has to handle the shortcoming but how ? that is what which will be your action plan. ",60.0
Thanks for sharing.It's amazing to hear to your experience and journey with this unit.All the best for your future endeavours. Keep in touch.,85.0
No Submission,0.0
Please let us know if you cannot make a decision so that we can give recommendations.;,85.0
"Thanks for the diary.Instead of describing the steps that you took throughout the reflection, you should reflect more on the emotion or the behavioural change that you experienced going through it and use the same to make an action plan.-VT",55.0
Great Job on the reflection. Just try to make action plans for the things you mentioned in the reflection along with other plans.-VT,75.0
"Hi qian,Really good reflection for Week6. Please keep up your good work.Also please not to upload the PDF, just typing the words in the Moodle directly, because we need to keep record, otherwise I need to download again.;Thanks and all the best,Lee;",90.0
"Thanks for the diary.Good job on the reflection and action plan, just try to make it concise.-VT",80.0
Good luck and best wishes for the future it has been a pleasure working with you.P.B.,85.0
"Hi Qiuli,Please submit your next diary on time cause we are not able to give marks for the late submission.",0.0
Good job Xiaoming.Keep it up.All the best!,70.0
"The action plan you mentioned is about the project, not the things you reflected on about the team working together.",70.0
,68.0
Good work!,80.0
"Hi;Xin,I can see you've put a lot of effort into this assignment. It's very comprehensive and covers most of the important points. It was, however, a little difficult to folow at times. The points you make could have been more clearly expressed and succinct.;Your Executive Summary was a little unclear and hard to follow. For example the term ""SWOT"" is not defined nor explained. You cannot assume your audience already knows what it means. A good exec summary assumes the reader will not read further and therefore includes a succinct summary of the key points and recommendations. Indeed, the term ""SWOT"" is mentioned throughout the report but at no time is it defined for the reader, even in the section ""SWOT Analysis"". Having said that, you do cover most of the important discussion points, and you do a quite good job of it. I think if you had presented the SWOT analysis in a regular paragraph format (and not in a table), with subheadings such as ""Strength, Weakness, Opportunity Threats"" then it would have made the report more easily readable.;Anyway, good effort!All the best for your exam and future endeavours!I really enjoyed teaching you.Peter H",70.0
,65.0
"The feedback is constructive and useful. It doesn’t just coverwhat needs to be improved but also what the team has done well. In the lastbit, suggestion to improve with visual example is very good and helpful.What could be improved:·      Document/Assignment submission should be appropriately named so itis easy to find - including team number and the number for the team beingreviewing.·      Description of ‘Audience’ is good but require clarity around someof the descriptions. Eg. ‘the page is too long which is good because mentors donot need to scroll down……’. This sentence is contradicting itself.·      Instead of saying ‘there existproblems or another problem is about….’, you could say ‘while ??? is good itcould be further improved by …‘ This way, you avoid judgement.",70.0
"Please refer to verbal feedback during presentation.Very good anlaysis and use of statistics, visuals and examples to support your points. Strategy of re-inforcing your points very effective.",73.0
"Feedback to ConsiderRead like a business report – in first person (we) and focused on the problem, insights and actionable recommendations on how to address the problem (rather than focused on theory). Good structure to support your points including formatting and use of bullet points.The report was appropriately aimed at senior management.English expression was appropriate.Executive summary acted as a stand alone documentPurpose and objective of the report was clearSome of the issues were glossed over. The issues should be analysed in enough depth to enable the reader to understand / persuade the reader why the issue is important to the company and what the implications and risks would be for the business. One way to address this is to include case studies or facts of why “issue x” could be a problem. Considering the issues faced by virtual teams, multidisciplinary teams and cross cultural teams is a good way to start structuring your thinking. Challenges were explained so the reader could understand what the implications / problems would be for the organisationRecommendations were succinct, useful and delivered in a way that the reader could readily implement.",63.0
"A very good presentation covering the key aspects of negative and positive impacts. Excellent responses to the questions. Areas to improve are listed below.No outline slide is an issue. Need to introduce thetopics to be discussed and who is going to discuss what.Forthe stakeholders, it is important to also mention businesses, especially thatyou gave an example of 7-eleven implementation of facial recognition. Otherwise, your example is irrelevant.;It isgreat that you had examples of facial recognition used in Australia and whatbenefits they can bring. I would separate the Australian government from lawenforcement. Unless you think they represent one entity, I would not list themas separate stakeholders.;Needto give an introduction to the ethical design framework. Other students mightnot know what it is",76.0
"Some useful suggestions, however, it's important that you also give detailed feedback - explain why the changes suggested would be beneficial / are needed in order to help the other team understand how to implement the feedback.;Some general hints on giving constructive feedback:Be specific and give reasons – explain your feedback: To help the person understand why it should changeDon’t judge: Describe what could be done differently rather than state what is “good / bad / wrong / right”Be helpful: Offer suggestions for improvement",63.0
