"     Structure      1.  Components are in good order   ;        Presentation  Style      1. I would  recommend you to use a drawing tool, for example,  LucidChart, or even presentation tools such as PowerPoint, Keynote, or Google  Slides  for drawing all diagrams, if  possible.  2.  If it is not possible, try to draw more clearly, mentioning all the proper  labels.  ;        Technicality  in general      1.  ;Mention switch, router specifications  (e.g., 24 port gigabit switch,…) in diagrams (slide number 5,7).  2.Justification  is needed for the choice of Routers/Switches (e.g.,; why you used four 8 port 10 Gbps routers?)  3.  I would recommend you to show APs coverage using circles in the diagram  (slide 5)  ;  ;   ",50.0
A presentation outline is expected at the beginning. I did not get your plan B. The cost estimation is good for budget. You need to justify the use of 2 routers per floor.  Can the switches be not connected to one ground floor router? A justification is needed in this case. Where is your load calculation?,100.0
"Good job, keep up the good work! Task A For Routing rationale: Could also consider the threshold of data to be transmitted where 1Gbps begins to take less time than 100Mbps . For Subnet & Mask, range, leasetime, router, dns, domain name: DHCP range should not include 102.209.124.10. Task C For Internal to DMZ: Should use stateful inspection.",93.0
A presentation outline is expected at the beginning. Switches are 25-port or 30 port? What are the 5-port switches used for? A cost estimation is required for budget and also justiying the number of equipment used,100.0
Good work,93.75
"Good work, write project requirements, final conclusion, and appendix. Insert big and clear pictures of your designs.;However, a conceptual high-level diagram is needed to show a typical floor plan, backbone network (connecting the floors), and a wide area network to connect to the main office. No need to show each row (top, middle, and low) separately.;Better to mention and justify what all devices including cables along with names, specifications, the capacity have been used in your design connection.",75.0
"Overall Excellent presentation. All the designs, assumptions, rules, analysis, justification, observations, and recommendations all properly aligned. Keep it up.",100.0
"     Structure      1.; I would suggest to present in the following  manners:  First,  A high-level diagram  Second,  A floor plan   Third,  Backbone network (floor; to floor  connection),   Finally,  A wide area network to connect to the main office  2. Prepare presentation slides of at least 10 pages long  (page limit doesn’t include the title page and;References        Presentation  Style      1.  Good use of figure and visualization  2.  Add slide number in every slide        Technicality  in general      1.  I would recommend a more detailed floor plan considering switch with  specifications (e.g., 24 port gigabit switch,…), the symbolic connection  between switch and desktops, placement of Aps,…  2.  ;Need to mention switch, router  specifications (e.g., 24 port gigabit switch,…) in diagrams (slide number 4).  3.; Justification is needed for the choice of  Routers/Switches (e.g., ;why you used two  24 port gigabit switches?)  ;  ;   ",50.0
"Please do not simply read out from a script during presentation. You had difficulty reading from the scripts, it shows your lack of understanding and lack f presentation  skill. Add labels for equipment in the diagram, e.g. 10GB 48 port switch etc. to make diagrams self-content. Poor floor-plan. Please search for  'LAN floorplan'  and see how it should look. Show APs connecting to switches, in your floor plan. How much traffic from WLAN? Equipment specification? How many ports and what is the throughput? Cost/budget?",56.25
ip addressing in part 5 is unclear.WLAN design could improve (AP location in different levels and traffic analysis).what if number of users per floor increase from 50 to 60 (future growth)? ,87.5
"MingYeLi-&gt;FIT9137-P1-FeedbackBy-Safi Uddin(i) Structure of Document: No Table of contents. Good Structure of contents. Structure can be improved.;(ii) Presentation Style of the Document: Figures have been used. Use of high-level diagrams is good.(iii) Technical Details Found in the Document: Probably you need to relook at the “Recommendations and Justifications”. Maps, Switches, Routers, and WAPs shown. Justification for selecting Routers/Switches are done along with traffic analysis and Bandwidth required for the devices. Channel allocation for APs also present.",100.0
"Structure:missing project requirements, summary of recommendations, conclusionsStyle:use phrases instead of full sentences, too much info (words) in some slides, consistent and purposeful use of coloured textTechnical detail:inadequateNote:This feedback only covers the above aspects and is not supposed to provide any detailed feedback on the design/work.",50.0
"WAN, LAN and WLAN design can improve.Digrams could have improved.Ideas could have presented in a more clear way.Traffic analysis can improve.Cable type.Cost analysis.Is one 48 port switch per foor enough?2 days late",50.0
"Some estimation about number of switches number of routers, type of devices, types of cables, length of cables, required bandwidth for each user, for each switch for each router for each access point, locations and so on are required.Cost estimation. Better floor plan is required.A conclusion is required.There are some references but have not been used in the slides.",50.0
Good work,93.75
Please clarify typical floor design with access points. How many users can be supported with your proposed model ?,100.0
"You did not show your own picture or the presentation slides in the loom. Therefore, it was not possible to understand what you are showing.",62.5
"Overall Excellent presentation. All the designs, assumptions, rules, analysis, justification, observations, and recommendations all properly aligned. Keep it up.",100.0
A conclusion is required.Font in ;;; figures is tiny.There are some references but have not been used in the slides.Some errors in computations:40*40=1800Cost estimation is required.,100.0
